ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,PROPERTY_TYPE_SHORT,PROPERTY_TYPE,FLOOR_AREA,CURRENT_ENERGY_PERFORMANCE_RATING,CURRENT_ENERGY_PERFORMANCE_BAND,BUILDING_EMISSIONS,RENEWABLE_SOURCES,ELECTRICITY_SOURCE,MAIN_HEATING_FUEL,BUILDING_ENVIRONMENT,,Demand KWH,Demand MWH,Demand GWH
Unit 4A Moorpark Industrial Estate,15 Orton Place,Glasgow,G51 2HF,Office/Workshop,Offices and Workshop businesses,253,48,D+,48.16,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"25,300.00",25.3,0.03
Office 1,11 Orton Place,Glasgow,G51 2HF,Office/Workshop,Offices and Workshop businesses,89,69,E+,68.73,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"10,680.00",10.68,0.01
OFFICE 4,11 ORTON PLACE,GLASGOW,G51 2HF,Office/Workshop,Offices and Workshop businesses,277,76,E,75.57,None,Grid supplied,Natural Gas,Air Conditioning,,"33,240.00",33.24,0.03
OFFICE 2,11 ORTON PLACE,GLASGOW,G51 2HF,Office/Workshop,Offices and Workshop businesses,277,67,E+,66.69,None,Grid supplied,Natural Gas,Air Conditioning,,"33,240.00",33.24,0.03
Units 8&9,15 Orton Place,Glasgow,G51 2HF,Office/Workshop,Offices and Workshop businesses,205,77,E,77.48,None,Grid supplied,Natural Gas,Heating and Mechanical Ventilation,,"24,600.00",24.6,0.02
Unit 4 Moorpark Industrial Estate,15 Orton Place,Glasgow,G51 2HF,Office/Workshop,Offices and Workshop businesses,248,62,E+,62.33,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"29,760.00",29.76,0.03
1 Orton Place,Moorpark House,Glasgow,G51 2HF,Primary Healthcare Building,Non-residential Institutions: Primary Health Care Building,159,83,F+,83.31,Heat pumps,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"23,850.00",23.85,0.02
49 Orton Place,,Glasgow,G51 2HF,General Industrial,General Industrial and Special Industrial Groups,1028,38,C,38.24,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"123,360.00",123.36,0.12
Unit 5B First Floor,27 Dava Street,Glasgow,G51 2JA,Office/Workshop,Offices and Workshop businesses,173,18,B+,18.13,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"9,515.00",9.52,0.01
Ground Floor,27 Dava Street,Glasgow,G51 2JA,Office/Workshop,Offices and Workshop businesses,180,14,A,13.82,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"5,400.00",5.4,0.01
