,,,,during,"of comments,",,,
,,,,consultation),move to,,,
,,,,(0.3m),CROWNPOINT,,,
,,,,,SC,,,
SH1509,,CEEA0906,ST MICHAEL'S,St Michaels,After,,,
,,,PRIMARY SCHOOL,Chapel Hall,consideration,,,
,,,,(submitted,"of comments,",,,
,,,,during,move to St,,,
,,,,consultation),Michaels,,,
,,,,(0.2m),Chapel Hall,,,
SH1609,,CEEA0907,SACRED HEART,BCLC,After,,,
,,,PRIMARY SCHOOL,(submitted,consideration,,,
,,,,during,"of comments,",,,
,,,,consultation),move to BCLC,,,
,,,,(0.2m),,,,
SH1709,,CEEA0908,DALMARNOCK,No change,,,,
,,,PRIMARY SCHOOL,,,,,
,,,,,,,,
SH1809,,CEEA0909,RIVERBANK,Emirates Arena,Still under,,,
,,,PRIMARY SCHOOL,(submitted,consideration,,,
,,,,during,,,,
,,,,consultation),,,,
,,,,(0.7m),,,,
SH1909,,CEEA0910,CALTON PARKHEAD,No change,,,,
,,,PARISH CHURCH,,,,,
,,,HALL,,,,,
SH2009,,CEEA0911,HELENSLEA,No change,,,,
,,,COMMUNITY HALL,,,,,
SH2109,SH2209,CENE0901,REIDVALE,No change,,,,
,,,NEIGHBOURHOOD,,,,,
,,,CENTRE,,,,,
SH2209,SH2109,,,,,,,
,,,,,,,,
EXISTING,POLLING,PROPOSED,CURRENT POLLING,PROPOSED,DISTANCE,REASON FOR PROPOSED,PROPOSED CHANGE TO,
POLLING,DISTRICT,NEW,PLACE,CHANGE TO,MILES,CHANGE TO VENUE,POLLING PLACE,
DISTRICT,MERGE,POLLING,,POLLING,,,,
,WITH,DISTRICT,,PLACE,,,,
,,NAME,,,,,,
KE0110,,CENO1001,KELVINGROVE,No change,,,No change,
,,,TENNIS - BOWLING,,,,,
,,,CLUB,,,,,
KE0210,,CENO1002,GAELIC SCHOOL,No change,,,No change,
,,,,,,,,
KE0310,,CENO1003,GARNETBANK,No change,,,No change,
,,,PRIMARY SCHOOL,,,,,
,,,,,,,,
KE0410,,CEEA1001,* THE BURGH,No change,,,No change,
,,,COURT HALL,,,,,
KE0510,,CENO1004,ST PATRICK'S,No change,,,No change,
,,,PRIMARY SCHOOL,,,,,
,,,,,,,,
KE0610,,CENO1005,GARNETHILL,GARNETBANK,0.2,The cost of the current polling,GARNETBANK PRIMARY,
,,,MULTICULTURAL,PRIMARY,,place is approximately £2000.,SCHOOL,
,,,COMMUNITY,SCHOOL,,Garnetbank PS is an existing,,
,,,CENTRE,,,polling place.,,
KE0710,,CENO1006,GAELIC SCHOOL,No change,,,No change,
,,,,,,,,
KE0810,KE3110,CENO1007,DUNDASVALE,No change,,,No change,
,,,RESIDENTS,,,,,
,,,ASSOCIATION HALL,,,,,
KE0910,KE3210,CENE1001,ST MUNGO'S,No change,,,No change,
,,,PRIMARY SCHOOL,,,,,
,,,,,,,,
KE1010,,CEEA1002,THE BURGH COURT,No change,,,No change,
,,,HALL,,,,,
KE3110,KE0810,,,,,,,
,,,,,,,,
KE3210,KE0910,,,,,,,
,,,,,,,,
EXISTING,PROPOSED,CURRENT,PROPOSED,DISTANCE,REASON FOR PROPOSED CHANGE,PROPOSED CHANGE,,
POLLING,NEW,POLLING PLACE,CHANGE TO,MILES,TO VENUE,TO POLLING PLACE,,
DISTRICT,POLLING,,POLLING,,,,,
,DISTRICT,,PLACE,,,,,
,NAME,,,,,,,
KE1311,KMNO1101,BELHAVEN,NORTH,0.1m,To not use early years or ASL Education,NORTH KELVINSIDE,,
,,NURSERY,KELVINSIDE,,establishments.,PS,,
,,,PS,,North Kelvinside PS is not an existing,,,
,,,,,polling place.,,,
KE1811,KMNO1102,HILLHEAD HIGH,No change,,,No change,,
,,SCHOOL,,,,,,
KE1911,KMNO1103,HILLHEAD HIGH,No change,,,No change,,
,,SCHOOL,,,,,,
KE2011,KMNO1104,COMMUNITY,No change,,,No change,,
,,CENTRAL HALLS,,,,,,
KE2111,KMNO1105,ST JOSEPH'S,No change,,,No change,,
,,PRIMARY SCHOOL,,,,,,
,,,,,,,,
KE2211,KMNO1106,HILLHEAD,No change,,,No change,,
,,PRIMARY SCHOOL,,,,,,
KE2311,KMNO1107,HILLHEAD,No change,,,No change,,
,,PRIMARY SCHOOL,,,,,,
KE3011,KMNO1108,DUNARD PRIMARY,No change,,,No change,,
,,SCHOOL,,,,,,
