OSG_REFERENCE_NUMBER,ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,BUILDING_EMISSIONS,ELECTRICITY_SOURCE,MAIN_HEATING_FUEL,APPROXIMATE_ENERGY_USE,LOCAL_AUTHORITY,CONSTITUENCY,TARGET_EMISSIONS
9.067E+11,17 ROYAL TERRACE,,GLASGOW,G3 7NY,82.64,Grid supplied,Natural Gas,222,00QS,00QSMK,16.67
,1st Floor and Attic Offices The Studio,5 Newton Terrace Lane,Glasgow,G3 7PB,31.82,Grid supplied,Natural Gas,102,00QS,00QSMK,13.65
9.067E+11,5 NEWTON TERRACE LANE,,GLASGOW,G3 7PB,44.03,Grid supplied,Natural Gas,124,00QS,00QSMK,11.66
9.067E+11,5 Newton Ter,,Glasgow,G3 7PJ,74.41,Grid supplied,Natural Gas,261,00QS,00QSMK,17.19
,1st Floor,15 Newton Terrace,Glasgow,G3 7PJ,28.74,Grid supplied,Natural Gas,161,00QS,00QSMK,3.05
,6-7 Newton Terrace,,Glasgow,G3 7PJ,62.06,Grid supplied,Natural Gas,183,00QS,00QSMK,13.09
9.067E+11,15 Newton Terrace,,Glasgow,G3 7PJ,53.63,Grid supplied,Natural Gas,160,00QS,00QSMK,14.61
9.067E+11,573 Sauchiehall Street,,Glasgow,G3 7PQ,102.81,Grid supplied,Natural Gas,298,00QS,00QSMK,58.5
9.067E+11,559 SAUCHIEHALL STREET,,GLASGOW,G3 7PQ,21.79,Grid supplied,Natural Gas,115,00QS,00QSMK,8.69
9.067E+11,523 SAUCHIEHALL STREET,,GLASGOW,G3 7PQ,179.4,Grid supplied,Natural Gas,463,00QS,00QSMK,63.05
9.067E+11,1 NEWTON PLACE,,GLASGOW,G3 7PR,66.81,Grid supplied,Natural Gas,204,00QS,00QSMK,13.51
9.067E+11,10 NEWTON PLACE,,GLASGOW,G3 7PR,66.3,Grid supplied,Natural Gas,221,00QS,00QSMK,16.7
9.067E+11,22 NEWTON PLACE,,GLASGOW,G3 7PY,41.75,Grid supplied,Natural Gas,137,00QS,00QSMK,16.75
,Second Floor,16 Newton Place,Glasgow,G3 7PY,88.02,Grid supplied,Natural Gas,306,00QS,00QSMK,20.44
,Lower Ground Floor,16 Newton Place,Glasgow,G3 7PY,61.42,Grid supplied,Natural Gas,188,00QS,00QSMK,19.17
9.067E+11,21 NEWTON PLACE,,GLASGOW,G3 7PY,109.21,Grid supplied,Natural Gas,276,00QS,00QSMK,20.25
9.067E+11,14 NEWTON PLACE,,GLASGOW,G3 7PY,55.49,Grid supplied,Natural Gas,176,00QS,00QSMK,12.25
9.067E+11,20 NEWTON PLACE,,GLASGOW,G3 7PY,111.63,Grid supplied,Natural Gas,250,00QS,00QSMK,14.49
,Ground Floor,16 Newton Place,Glasgow,G3 7PY,110.02,Grid supplied,Natural Gas,273,00QS,00QSMK,18.74
9.067E+11,23 NEWTON PLACE,,GLASGOW,G3 7PY,62.16,Grid supplied,Natural Gas,235,00QS,00QSMK,21
,First Floor,16 Newton Place,Glasgow,G3 7PY,91.33,Grid supplied,Natural Gas,240,00QS,00QSMK,17.26
